dataset,scenario,method,strategy_group,strategy,mean,std,min,max
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,ghost,ghost_f1,0.25,0.02645751311064591,0.23,0.28
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,ghost,ghost_g_mean,0.25,0.02645751311064591,0.23,0.28
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,ghost,ghost_kappa,0.25,0.02645751311064591,0.23,0.28
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,ghost,ghost_mcc,0.25,0.02645751311064591,0.23,0.28
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,ghost,ghost_youden,0.25,0.02645751311064591,0.23,0.28
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,train_optimized,train_best_f1,0.34,0.04582575694955839,0.29000000000000004,0.38
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,train_optimized,train_best_g_mean,0.34,0.04582575694955839,0.29000000000000004,0.38
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,train_optimized,train_best_mcc,0.34,0.04582575694955839,0.29000000000000004,0.38
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,train_optimized,train_best_youden,0.34,0.04582575694955839,0.29000000000000004,0.38
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,validation_optimized,validation_best_f1,0.18666666666666668,0.07023769168568493,0.12,0.26
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,validation_optimized,validation_best_g_mean,0.02666666666666667,0.02081665999466133,0.01,0.05
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,validation_optimized,validation_best_mcc,0.43333333333333335,0.22501851775650225,0.18000000000000002,0.61
AID362 PubChem Bioassay,threshold_optimization,ADASYN + RF,validation_optimized,validation_best_youden,0.02666666666666667,0.02081665999466133,0.01,0.05
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,ghost,ghost_f1,0.7966666666666667,0.051316014394468853,0.74,0.84
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,ghost,ghost_g_mean,0.6066666666666666,0.03511884584284248,0.57,0.64
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,ghost,ghost_kappa,0.8066666666666666,0.03511884584284246,0.77,0.84
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,ghost,ghost_mcc,0.7966666666666667,0.051316014394468853,0.74,0.84
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,ghost,ghost_youden,0.6066666666666666,0.03511884584284248,0.57,0.64
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,train_optimized,train_best_f1,0.8066666666666666,0.03511884584284248,0.77,0.8400000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,train_optimized,train_best_g_mean,0.5966666666666667,0.023094010767584956,0.5700000000000001,0.61
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,train_optimized,train_best_mcc,0.7966666666666667,0.051316014394468874,0.74,0.8400000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,train_optimized,train_best_youden,0.5966666666666667,0.023094010767584956,0.5700000000000001,0.61
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,validation_optimized,validation_best_f1,0.77,0.06999999999999995,0.7000000000000001,0.8400000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,validation_optimized,validation_best_g_mean,0.48666666666666664,0.13650396819628846,0.34,0.61
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,validation_optimized,validation_best_mcc,0.7266666666666667,0.05131601439446886,0.67,0.77
AID362 PubChem Bioassay,threshold_optimization,Balanced Bagging,validation_optimized,validation_best_youden,0.4533333333333333,0.19139836293274123,0.24000000000000002,0.61
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,ghost,ghost_f1,0.81,0.0,0.81,0.81
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,ghost,ghost_g_mean,0.6566666666666666,0.040414518843273836,0.62,0.7
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,ghost,ghost_kappa,0.81,0.0,0.81,0.81
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,ghost,ghost_mcc,0.81,0.0,0.81,0.81
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,ghost,ghost_youden,0.6566666666666666,0.040414518843273836,0.62,0.7
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,train_optimized,train_best_f1,0.8166666666666668,0.0057735026918962545,0.81,0.8200000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,train_optimized,train_best_g_mean,0.64,0.036055512754639925,0.61,0.68
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,train_optimized,train_best_mcc,0.8166666666666668,0.0057735026918962545,0.81,0.8200000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,train_optimized,train_best_youden,0.64,0.036055512754639925,0.61,0.68
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,validation_optimized,validation_best_f1,0.7000000000000001,0.010000000000000009,0.6900000000000001,0.7100000000000001
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,validation_optimized,validation_best_g_mean,0.4566666666666667,0.07234178138070234,0.41000000000000003,0.54
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,validation_optimized,validation_best_mcc,0.6966666666666668,0.11060440015358043,0.5800000000000001,0.8
AID362 PubChem Bioassay,threshold_optimization,Balanced Random Forest,validation_optimized,validation_best_youden,0.39666666666666667,0.1504437879519568,0.24000000000000002,0.54
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,ghost,ghost_f1,0.21333333333333335,0.015275252316519463,0.2,0.23
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,ghost,ghost_g_mean,0.21333333333333335,0.015275252316519463,0.2,0.23
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,ghost,ghost_kappa,0.21333333333333335,0.015275252316519463,0.2,0.23
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,ghost,ghost_mcc,0.21333333333333335,0.015275252316519463,0.2,0.23
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,ghost,ghost_youden,0.21333333333333335,0.015275252316519463,0.2,0.23
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,train_optimized,train_best_f1,0.2833333333333334,0.04041451884327381,0.24000000000000002,0.32
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,train_optimized,train_best_g_mean,0.2833333333333334,0.04041451884327381,0.24000000000000002,0.32
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,train_optimized,train_best_mcc,0.2833333333333334,0.04041451884327381,0.24000000000000002,0.32
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,train_optimized,train_best_youden,0.2833333333333334,0.04041451884327381,0.24000000000000002,0.32
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,validation_optimized,validation_best_f1,0.21333333333333337,0.13051181300301262,0.11,0.36000000000000004
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,validation_optimized,validation_best_g_mean,0.03,0.017320508075688777,0.02,0.05
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,validation_optimized,validation_best_mcc,0.47000000000000003,0.1212435565298214,0.36000000000000004,0.6
AID362 PubChem Bioassay,threshold_optimization,Baseline RF,validation_optimized,validation_best_youden,0.03,0.017320508075688777,0.02,0.05
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,ghost,ghost_f1,0.2333333333333333,0.02886751345948128,0.2,0.25
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,ghost,ghost_g_mean,0.2333333333333333,0.02886751345948128,0.2,0.25
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,ghost,ghost_kappa,0.2333333333333333,0.02886751345948128,0.2,0.25
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,ghost,ghost_mcc,0.2333333333333333,0.02886751345948128,0.2,0.25
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,ghost,ghost_youden,0.2333333333333333,0.02886751345948128,0.2,0.25
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,train_optimized,train_best_f1,0.32,0.06928203230275509,0.28,0.4
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,train_optimized,train_best_g_mean,0.32,0.06928203230275509,0.28,0.4
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,train_optimized,train_best_mcc,0.32,0.06928203230275509,0.28,0.4
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,train_optimized,train_best_youden,0.32,0.06928203230275509,0.28,0.4
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,validation_optimized,validation_best_f1,0.3,0.05567764362830024,0.24000000000000002,0.35000000000000003
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,validation_optimized,validation_best_g_mean,0.049999999999999996,0.04582575694955839,0.01,0.09999999999999999
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,validation_optimized,validation_best_mcc,0.38000000000000006,0.15716233645501712,0.24000000000000002,0.55
AID362 PubChem Bioassay,threshold_optimization,Borderline-SMOTE + RF,validation_optimized,validation_best_youden,0.049999999999999996,0.04582575694955839,0.01,0.09999999999999999
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,ghost,ghost_f1,0.9366666666666666,0.0208166599946613,0.92,0.96
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,ghost,ghost_g_mean,0.6066666666666667,0.07505553499465133,0.53,0.68
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,ghost,ghost_kappa,0.9366666666666666,0.0208166599946613,0.92,0.96
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,ghost,ghost_mcc,0.77,0.030000000000000027,0.74,0.8
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,ghost,ghost_youden,0.6066666666666667,0.07505553499465133,0.53,0.68
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,train_optimized,train_best_f1,0.92,0.0,0.92,0.92
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,train_optimized,train_best_g_mean,0.44,0.0,0.44,0.44
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,train_optimized,train_best_mcc,0.77,0.0,0.77,0.77
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,train_optimized,train_best_youden,0.44,0.0,0.44,0.44
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,validation_optimized,validation_best_f1,0.9,0.10440306508910548,0.78,0.97
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,validation_optimized,validation_best_g_mean,0.13333333333333333,0.07505553499465135,0.09,0.22
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,validation_optimized,validation_best_mcc,0.88,0.09539392014169452,0.78,0.97
AID362 PubChem Bioassay,threshold_optimization,Class weight LogisticRegression,validation_optimized,validation_best_youden,0.25,0.17691806012954134,0.09,0.44
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,ghost,ghost_f1,0.5566666666666666,0.07234178138070237,0.51,0.64
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,ghost,ghost_g_mean,0.10000000000000002,0.04000000000000001,0.06,0.14
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,ghost,ghost_kappa,0.5566666666666666,0.07234178138070237,0.51,0.64
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,ghost,ghost_mcc,0.4666666666666666,0.09237604307034014,0.36,0.52
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,ghost,ghost_youden,0.10000000000000002,0.04000000000000001,0.06,0.14
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,train_optimized,train_best_f1,0.52,0.0,0.52,0.52
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,train_optimized,train_best_g_mean,0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,train_optimized,train_best_mcc,0.52,0.0,0.52,0.52
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,train_optimized,train_best_youden,0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,validation_optimized,validation_best_f1,0.6566666666666667,0.19655363983740756,0.51,0.88
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,validation_optimized,validation_best_g_mean,0.016666666666666666,0.005773502691896258,0.01,0.02
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,validation_optimized,validation_best_mcc,0.5733333333333334,0.3100537587795596,0.26,0.88
AID362 PubChem Bioassay,threshold_optimization,Custom weighted log-loss LR,validation_optimized,validation_best_youden,0.16,0.09165151389911681,0.08,0.26
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,ghost,ghost_f1,0.5833333333333334,0.0057735026918962545,0.58,0.59
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,ghost,ghost_g_mean,0.5333333333333333,0.005773502691896279,0.53,0.54
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,ghost,ghost_kappa,0.5833333333333334,0.0057735026918962545,0.58,0.59
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,ghost,ghost_mcc,0.5833333333333334,0.0057735026918962545,0.58,0.59
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,ghost,ghost_youden,0.5333333333333333,0.005773502691896279,0.53,0.54
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,train_optimized,train_best_f1,0.5833333333333334,0.005773502691896215,0.5800000000000001,0.59
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,train_optimized,train_best_g_mean,0.5333333333333333,0.0057735026918962545,0.53,0.54
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,train_optimized,train_best_mcc,0.5833333333333334,0.005773502691896215,0.5800000000000001,0.59
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,train_optimized,train_best_youden,0.53,0.010000000000000009,0.52,0.54
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,validation_optimized,validation_best_f1,0.5966666666666667,0.020816659994661323,0.5800000000000001,0.62
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,validation_optimized,validation_best_g_mean,0.5133333333333333,0.015275252316519477,0.5,0.53
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,validation_optimized,validation_best_mcc,0.6033333333333334,0.028867513459481298,0.5700000000000001,0.62
AID362 PubChem Bioassay,threshold_optimization,EasyEnsemble,validation_optimized,validation_best_youden,0.5233333333333333,0.020816659994661358,0.5,0.54
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),ghost,ghost_f1,0.19000000000000003,0.010000000000000009,0.18,0.2
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),ghost,ghost_g_mean,0.19000000000000003,0.010000000000000009,0.18,0.2
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),ghost,ghost_kappa,0.19000000000000003,0.010000000000000009,0.18,0.2
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),ghost,ghost_mcc,0.19000000000000003,0.010000000000000009,0.18,0.2
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),ghost,ghost_youden,0.19000000000000003,0.010000000000000009,0.18,0.2
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),train_optimized,train_best_f1,0.22333333333333336,0.011547005383792512,0.21000000000000002,0.23
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),train_optimized,train_best_g_mean,0.22333333333333336,0.011547005383792512,0.21000000000000002,0.23
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),train_optimized,train_best_mcc,0.22333333333333336,0.011547005383792512,0.21000000000000002,0.23
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),train_optimized,train_best_youden,0.22333333333333336,0.011547005383792512,0.21000000000000002,0.23
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),validation_optimized,validation_best_f1,0.28,0.19974984355438177,0.15000000000000002,0.51
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),validation_optimized,validation_best_g_mean,0.03333333333333333,0.025166114784235832,0.01,0.060000000000000005
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),validation_optimized,validation_best_mcc,0.28,0.19974984355438177,0.15000000000000002,0.51
AID362 PubChem Bioassay,threshold_optimization,RF (balanced_subsample),validation_optimized,validation_best_youden,0.04666666666666667,0.01527525231651947,0.03,0.060000000000000005
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,fixed_threshold,default_0.5,0.5,,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,ghost,ghost_f1,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,ghost,ghost_g_mean,0.14,,0.14,0.14
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,ghost,ghost_kappa,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,ghost,ghost_mcc,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,ghost,ghost_youden,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,train_optimized,train_best_f1,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,train_optimized,train_best_g_mean,0.14,,0.14,0.14
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,train_optimized,train_best_mcc,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,train_optimized,train_best_youden,0.87,,0.87,0.87
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,validation_optimized,validation_best_f1,0.62,,0.62,0.62
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,validation_optimized,validation_best_g_mean,0.12,,0.12,0.12
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,validation_optimized,validation_best_mcc,0.12,,0.12,0.12
AID362 PubChem Bioassay,threshold_optimization,RUSBoost,validation_optimized,validation_best_youden,0.12,,0.12,0.12
AID362 PubChem Bioassay,threshold_optimization,Random Oversampling + RF,fixed_threshold,default_0.5,0.5,0.0,0.5,0.5
AID362 PubChem Bioassay,threshold_optimization,Random Oversampling + RF,ghost,ghost_f1,0.27,0.010000000000000009,0.26,0.28
AID362 PubChem Bioassay,threshold_optimization,Random Oversampling + RF,ghost,ghost_g_mean,0.27,0.010000000000000009,0.26,0.28
